track_id,x,y
6,843,473
13,537,478
14,407,520
19,1118,455
25,483,515
26,889,440
27,515,520
29,485,525
31,910,473
1,1043,323
2,831,435
6,846,472
13,529,478
14,396,522
19,1127,455
25,483,515
26,967,410
27,517,520
29,486,524
31,915,473
1,1037,320
2,826,433
6,849,472
13,521,478
14,386,523
19,1133,453
25,482,515
26,971,428
27,517,520
29,486,524
31,919,473
1,1031,317
2,820,430
6,857,471
13,513,478
14,375,525
19,1143,452
25,479,516
26,977,434
27,515,521
29,487,525
31,924,469
1,1025,313
2,814,428
6,861,469
13,505,478
14,364,526
19,1150,450
25,476,517
26,981,434
27,515,522
29,485,525
31,927,467
1,1019,309
2,808,425
6,861,467
13,497,478
14,353,528
19,1154,447
25,473,518
26,980,432
27,515,522
29,483,526
31,927,463
1,1013,305
2,803,422
6,852,465
13,489,478
14,343,529
19,1153,443
25,467,525
26,972,430
27,506,528
29,475,531
31,919,459
32,1025,423
2,901,456
6,840,464
14,332,530
19,1150,442
25,457,530
26,961,431
27,493,534
29,473,533
31,921,457
32,1020,431
2,894,460
6,828,467
14,321,532
19,1148,442
25,452,532
26,947,436
27,490,536
29,471,534
31,922,455
32,1007,437
2,886,468
6,818,474
14,310,534
19,1150,447
25,448,534
26,936,448
27,487,537
29,469,535
31,924,454
32,997,445
2,880,476
6,812,479
14,300,535
19,1153,450
25,444,536
26,930,451
27,463,555
29,467,537
31,926,452
32,992,455
2,874,482
6,806,486
14,289,537
19,1154,455
25,439,539
26,924,458
27,454,565
29,466,539
31,928,450
32,986,462
2,866,489
6,797,492
14,278,538
19,1157,459
25,435,541
26,917,464
27,444,572
29,464,540
31,930,448
32,980,473
2,861,494
6,795,496
14,268,540
19,1158,465
25,430,543
26,912,471
27,438,576
29,462,542
31,931,447
32,972,479
33,405,579
2,857,497
6,793,503
14,257,541
19,1157,466
25,426,545
26,907,472
27,435,581
29,461,543
31,934,445
32,968,481
33,401,585
2,852,498
6,789,502
14,246,543
19,1154,468
25,421,547
26,901,475
27,427,585
29,459,544
31,935,443
32,961,480
33,391,583
2,846,502
6,783,502
14,235,544
19,1152,473
25,417,549
26,894,473
27,421,591
29,457,546
31,937,441
32,954,478
33,386,593
2,846,502
6,785,500
14,224,545
19,1153,473
25,386,585
26,893,476
27,420,592
29,455,547
31,939,440
32,954,477
33,386,598
35,1057,413
2,847,501
6,787,503
14,213,547
19,1153,471
25,385,590
26,894,472
27,421,596
29,454,549
31,941,437
32,955,476
33,387,602
35,1059,413
2,836,493
6,776,491
14,203,549
19,1135,469
25,379,594
26,881,467
27,408,594
29,452,551
31,942,436
32,942,467
33,384,606
35,1044,405
2,819,482
6,763,487
14,192,550
19,1123,465
25,373,599
26,865,453
27,402,598
29,450,552
31,944,434
32,926,452
33,381,610
35,1040,403
2,822,480
6,758,487
14,181,552
19,1118,457
25,367,604
26,861,449
27,395,588
29,357,579
31,946,432
32,922,445
33,378,615
35,1037,401
2,821,471
6,763,476
14,170,553
19,1117,454
25,361,608
26,867,444
27,389,590
29,350,582
31,948,431
32,925,442
33,374,619
35,1024,380
2,826,465
6,770,474
14,160,555
19,1117,455
25,356,613
26,870,437
27,383,592
29,343,585
31,950,429
32,932,438
33,371,623
35,1026,375
2,827,460
6,771,470
19,1117,455
25,350,618
26,871,436
27,377,594
29,336,588
31,952,427
32,933,437
33,368,628
35,1024,373
2,827,457
6,771,465
19,1117,455
25,344,622
26,871,437
27,371,596
29,329,591
31,954,425
32,932,436
33,365,632
35,1022,372
2,831,455
6,774,463
19,1117,455
25,338,627
26,871,432
27,366,598
29,322,594
31,955,424
32,935,434
33,361,636
35,1023,370
2,840,447
6,785,455
19,1114,453
25,332,632
26,878,424
27,360,601
29,315,597
31,957,422
32,942,426
33,358,640
35,1033,363
2,849,441
6,792,447
19,1111,450
25,326,636
26,884,416
27,354,603
29,308,600
31,959,420
32,948,419
33,355,645
35,1039,357
2,856,435
6,798,442
19,1111,445
25,321,641
26,887,407
27,348,605
29,300,603
31,961,418
32,953,412
33,352,649
35,1044,350
2,864,430
6,808,439
19,1112,442
25,315,646
26,892,407
27,342,607
29,293,606
31,962,417
32,955,407
33,348,654
35,1046,345
2,866,429
6,815,434
19,1114,440
25,309,650
26,894,403
27,336,609
29,286,609
31,964,414
32,958,403
33,345,658
35,1047,342
2,867,426
6,816,432
19,1115,437
25,303,655
26,896,401
27,330,611
29,279,612
31,966,413
32,959,398
33,342,662
35,1048,339
2,868,423
6,816,422
19,1116,436
25,297,660
26,899,401
27,324,613
29,272,615
31,968,411
32,961,396
33,339,667
35,1050,338
2,874,418
6,819,413
19,1116,436
25,291,664
26,903,402
27,318,615
29,265,618
31,970,409
32,965,395
33,335,671
35,1053,339
2,878,419
6,825,418
19,1117,436
25,286,669
26,905,399
27,312,617
29,258,621
31,972,407
32,969,394
33,332,676
35,1056,339
2,880,418
6,827,423
19,1118,435
25,280,673
26,908,397
27,307,619
29,251,624
31,974,406
32,973,393
33,329,680
35,1057,339
2,886,415
6,830,423
19,1119,436
25,274,678
26,913,395
27,301,622
29,244,627
32,980,391
33,326,684
35,1060,336
2,891,412
6,835,420
19,1120,434
25,268,682
26,918,394
27,295,624
29,236,630
32,985,390
33,322,689
35,1062,334
2,894,408
6,840,416
19,1122,434
25,262,687
26,923,389
27,289,626
29,230,633
32,989,389
33,319,693
35,1063,331
2,897,404
6,838,404
19,1121,435
25,256,692
26,926,386
27,283,628
29,223,636
32,991,389
33,316,697
35,1064,328
2,899,403
6,841,400
19,1121,434
