frame,id1,id2,x1,y1,z1,x2,y2,z2,impact_factor,dx,dy,dz
0,0.0,1.0,2.8721768266560344,1.3740389757360938,1.7679964105222163,0.1661181369961789,1.4265539994879868,1.6292228210862785,0.0,-0.9984997574320029,0.01937734709086894,-0.05120561350691534
0,0.0,2.0,2.8721768266560344,1.3740389757360938,1.7679964105222163,2.594443152650791,1.2945181747000074,1.658686829374912,0.0,-0.899154718567175,-0.25744628818214077,-0.35388660026635715
0,0.0,3.0,2.8721768266560344,1.3740389757360938,1.7679964105222163,2.1234527250085677,1.3082216373639162,1.639642244031831,0.0,-0.9819418873232727,-0.08631858025882107,-0.16833481413520487
0,0.0,4.0,2.8721768266560344,1.3740389757360938,1.7679964105222163,0.0447767593616958,1.4275745202194965,1.6215062474103432,0.0,-0.9984816671639025,0.018905799828839887,-0.05173224121304667
0,0.0,5.0,2.8721768266560344,1.3740389757360938,1.7679964105222163,3.23397627353362,1.3051296463417144,1.7172599649426576,0.0,0.9731480001104651,-0.18534847597979595,-0.1364680653178739
0,1.0,2.0,0.1661181369961789,1.4265539994879868,1.6292228210862785,2.594443152650791,1.2945181747000074,1.658686829374912,0.0,0.9984513589310977,-0.05428900490555136,0.01211467942952143
0,1.0,3.0,0.1661181369961789,1.4265539994879868,1.6292228210862785,2.1234527250085677,1.3082216373639162,1.639642244031831,0.0,0.9981629381672331,-0.06034480715837824,0.005313492074904252
0,1.0,4.0,0.1661181369961789,1.4265539994879868,1.6292228210862785,0.0447767593616958,1.4275745202194965,1.6215062474103432,0.0,-0.9979406606078717,0.008393007833112096,-0.06346295700539124
0,1.0,5.0,0.1661181369961789,1.4265539994879868,1.6292228210862785,3.23397627353362,1.3051296463417144,1.7172599649426576,0.0,0.9988067955911809,-0.039532293761680645,0.028662374084687976
0,2.0,3.0,2.594443152650791,1.2945181747000074,1.658686829374912,2.1234527250085677,1.3082216373639162,1.639642244031831,0.0,-0.998759425151009,0.029058897356573077,-0.04038502269507626
0,2.0,4.0,2.594443152650791,1.2945181747000074,1.658686829374912,0.0447767593616958,1.4275745202194965,1.6215062474103432,0.0,-0.9985348303923277,0.052109325265307926,-0.01456116227738549
0,2.0,5.0,2.594443152650791,1.2945181747000074,1.658686829374912,3.23397627353362,1.3051296463417144,1.7172599649426576,0.0,0.9956946183731534,0.016521091498876,0.0911930187220604
0,3.0,4.0,2.1234527250085677,1.3082216373639162,1.639642244031831,0.0447767593616958,1.4275745202194965,1.6215062474103432,0.0,-0.9983173152669285,0.057321127270873955,-0.008710101889891943
0,3.0,5.0,2.1234527250085677,1.3082216373639162,1.639642244031831,3.23397627353362,1.3051296463417144,1.7172599649426576,0.0,0.9975616592622414,-0.0027774752715763883,0.06972248590567469
0,4.0,5.0,0.0447767593616958,1.4275745202194965,1.6215062474103432,3.23397627353362,1.3051296463417144,1.7172599649426576,0.0,0.9988140331408538,-0.03834807379463868,0.029988765635916646
1,6.0,7.0,2.8835782139693733,1.3736254092377986,1.768365795333942,2.594443152650791,1.2945181747000074,1.658686829374912,0.0,-0.9058182090746248,-0.24783149157726558,-0.3436082917965382
1,6.0,8.0,2.8835782139693733,1.3736254092377986,1.768365795333942,0.1623176002284133,1.426691857683616,1.629099690407543,0.0,-0.9985033149199191,0.019471499501598117,-0.0511004593690238
1,6.0,9.0,2.8835782139693733,1.3736254092377986,1.768365795333942,0.0447767593616958,1.4275745202194965,1.6215062474103432,0.0,-0.9984843717424573,0.018975382761338328,-0.051654533008945874
1,6.0,10.0,2.8835782139693733,1.3736254092377986,1.768365795333942,2.1197898823712227,1.306664032243479,1.6376309107223528,0.0,-0.9820043686959168,-0.08609239238406206,-0.1680861339697482
1,6.0,11.0,2.8835782139693733,1.3736254092377986,1.768365795333942,3.2301758110958403,1.305267501841146,1.7171368366720825,0.0,0.9709423052341798,-0.19149464606493743,-0.14351040985360045
1,7.0,8.0,2.594443152650791,1.2945181747000074,1.658686829374912,0.1623176002284133,1.426691857683616,1.629099690407543,0.0,-0.9984525069698497,0.05426082752964048,-0.012146310887039498
1,7.0,9.0,2.594443152650791,1.2945181747000074,1.658686829374912,0.0447767593616958,1.4275745202194965,1.6215062474103432,0.0,-0.9985348303923277,0.052109325265307926,-0.01456116227738549
1,7.0,10.0,2.594443152650791,1.2945181747000074,1.658686829374912,2.1197898823712227,1.306664032243479,1.6376309107223528,0.0,-0.9986891436312774,0.02555536183625725,-0.044302480745805436
1,7.0,11.0,2.594443152650791,1.2945181747000074,1.658686829374912,3.2301758110958403,1.305267501841146,1.7171368366720825,0.0,0.9956573333950044,0.016835136995029226,0.09154190465023856
1,8.0,9.0,0.1623176002284133,1.426691857683616,1.629099690407543,0.0447767593616958,1.4275745202194965,1.6215062474103432,0.0,-0.9978832710560488,0.0074935160583183575,-0.06446584592001962
1,8.0,10.0,0.1623176002284133,1.426691857683616,1.629099690407543,2.1197898823712227,1.306664032243479,1.6376309107223528,0.0,0.9981153977061379,-0.061202205424763706,0.004350070463380299
1,8.0,11.0,0.1623176002284133,1.426691857683616,1.629099690407543,3.2301758110958403,1.305267501841146,1.7171368366720825,0.0,0.9988067955917836,-0.03953229368169616,0.02866237417428342
1,9.0,10.0,0.0447767593616958,1.4275745202194965,1.6215062474103432,2.1197898823712227,1.306664032243479,1.6376309107223528,0.0,0.9982761103125445,-0.05816929555492561,0.007757476804708574
1,9.0,11.0,0.0447767593616958,1.4275745202194965,1.6215062474103432,3.2301758110958403,1.305267501841146,1.7171368366720825,0.0,0.9988140207165719,-0.03835059997328451,0.029985936396889706
