frame,pedestrian_id,X,Y,Z
0,0,2.8721768266560344,1.3740389757360938,1.7679964105222163
0,1,0.1661181369961789,1.4265539994879868,1.6292228210862785
0,2,2.594443152650791,1.2945181747000074,1.658686829374912
0,3,2.1234527250085673,1.3082216373639162,1.639642244031831
0,4,0.04477675936169581,1.4275745202194963,1.6215062474103432
0,5,3.23397627353362,1.3051296463417144,1.7172599649426576
1,6,2.8835782139693733,1.3736254092377986,1.768365795333942
1,7,2.594443152650791,1.2945181747000074,1.658686829374912
1,8,0.16231760022841338,1.426691857683616,1.629099690407543
1,9,0.04477675936169581,1.4275745202194963,1.6215062474103432
1,10,2.1197898823712227,1.306664032243479,1.6376309107223528
1,11,3.2301758110958403,1.305267501841146,1.7171368366720825
2,12,2.890903661388108,1.3767406281065053,1.7723884542467858
2,13,0.16231760022841338,1.426691857683616,1.629099690407543
2,14,2.590780547869401,1.292960560951738,1.6566755037715464
2,15,0.04519033448782281,1.4224880859486253,1.6158416258687285
2,16,2.1161272797467907,1.3051063919674415,1.6356195555757436
3,17,0.16245546004176104,1.424996361908147,1.627211463531509
3,18,2.921307836602255,1.3756377668553879,1.7733734958236131
3,19,2.594443152650791,1.2945181747000074,1.658686829374912
3,20,0.04463890386226414,1.429269962939429,1.6233944151998898
3,21,2.115989419933443,1.3068018877429106,1.6375077824517774
4,22,0.1661181369961789,1.4265539994879868,1.6292228210862785
4,23,2.913844767226127,1.3742180351343185,1.7712390714929163
4,24,2.598243615088571,1.2943803192005756,1.6588099576454873
4,25,0.04463890386226414,1.429269962939429,1.6233944151998898
4,26,2.9823921401992823,1.3700410972299193,1.7715671920178
4,27,2.1197898823712227,1.306664032243479,1.6376309107223528
4,28,3.226375110802106,1.3054053659684097,1.7170137006953945
5,29,2.9291847146465484,1.3719711087332906,1.7698433654052959
5,30,2.5906426902130115,1.294656030199439,1.6585637011043368
5,31,0.16231760022841338,1.426691857683616,1.629099690407543
5,32,0.0443631885494848,1.4326609014348308,1.6271708098654705
5,33,2.1199277421845704,1.30496853646801,1.6357426838463187
5,34,2.9901311627441443,1.368069881827755,1.7699252293890293
6,35,2.929598289772675,1.36688467446242,1.7641787438636811
6,36,2.590780547869401,1.292960560951738,1.6566755037715464
6,37,0.15851706346064787,1.4268297158792451,1.6289765597288075
6,38,3.001808503226217,1.3642653682062262,1.766518227241287
6,39,3.2265129684584957,1.3037098967207088,1.715125503362604
6,40,0.04519033448782281,1.4224880859486253,1.6158416258687285
7,41,2.9901311627441443,1.368069881827755,1.7699252293890293
7,42,2.590780547869401,1.292960560951738,1.6566755037715464
7,43,0.16231760022841338,1.426691857683616,1.629099690407543
7,44,3.226375110802106,1.3054053659684097,1.7170137006953945
7,45,0.04450104404891647,1.430965458714898,1.6252826420759239
8,46,3.0133479838949424,1.3621563503601664,1.7649994519695789
8,47,2.5906426902130115,1.294656030199439,1.6585637011043368
8,48,0.1661181369961789,1.4265539994879868,1.6292228210862785
8,49,0.04843943877178001,1.4291321048112047,1.6235175458184212
8,50,3.222436788550979,1.3072387172433104,1.7187787993008534
8,51,2.1161272797467907,1.3051063919674415,1.6356195555757436
9,52,3.0138994188344173,1.3553744203138265,1.75744660355193
9,53,0.15851706346064787,1.4268297158792451,1.6289765597288075
9,54,2.5868419899192774,1.2947938943267026,1.6584405651276488
9,55,3.2300379512824926,1.306962997616615,1.7190250635481166
9,56,0.04491461917504347,1.4258790244440271,1.6196180205343091
9,57,2.1273910451027365,1.3063883126167837,1.637877174969616
10,58,3.0212246283971975,1.358489647810365,1.7614692547586612
10,59,0.15851706346064787,1.4268297158792451,1.6289765597288075
10,60,2.5830415274814973,1.2949317498261343,1.6583174368570737
10,61,3.226099393332369,1.3087963309915795,1.720790124904219
10,62,0.048301578958432345,1.4308276005866738,1.6254057726944553
10,63,2.1199277421845704,1.30496853646801,1.6357426838463187
11,64,3.0367026691730046,1.3545472700615726,1.7581853885876069
11,65,0.16231760022841338,1.426691857683616,1.629099690407543
11,66,2.5830415274814973,1.2949317498261343,1.6583174368570737
11,67,2.1199277421845704,1.30496853646801,1.6357426838463187
12,68,3.0399516966713094,1.361191344608481,1.7658613652758308
12,69,0.16231760022841338,1.426691857683616,1.629099690407543
12,70,2.5830415274814973,1.2949317498261343,1.6583174368570737
